day,date,pillar,hook,caption,hashtags,cta,preview_link_utm,checkout_link_utm,bio_link_utm
4,2026-08-13,social_proof,Why this works when nothing else did.,"Every diet that told you ""never again"" to a food group was setting you up to want it more. This one gives your cravings a scheduled outlet instead of fighting them -- most people find their cravings actually shrink over a few weeks. Built from years of real client coaching.",#weightlossjourney #sustainableweightloss #personaltrainer,Link in bio,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d4_social_proof_why-this-works-when-nothing-else,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d4_social_proof_why-this-works-when-nothing-else,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d4_social_proof_why-this-works-when-nothing-else
4,2026-08-13,relatable_story,"I stopped calling Friday dinner a ""cheat meal.""","Changing the label changed the behavior. When Friday's dinner became my scheduled Anything Meal instead of a ""cheat,"" I stopped white-knuckling through the week and bingeing when I got there. Still whatever I want -- just planned instead of desperate.",#foodfreedom #dietculturedropout #stopdieting,Link in bio for the full framework,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d4_relatable_story_i-stopped-calling-friday-dinner-a,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d4_relatable_story_i-stopped-calling-friday-dinner-a,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d4_relatable_story_i-stopped-calling-friday-dinner-a
5,2026-08-14,myth_busting,You do not need to earn your Friday dinner.,"This isn't a reward for a ""good"" week. Not a prize for eating perfectly Mon-Thu. It's just part of the plan, on the calendar from day one -- because food you have to earn is food you'll eventually binge on.",#noguilt #dietculturedropout #foodfreedom,Link in bio,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d5_myth_busting_you-do-not-need-to-earn,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d5_myth_busting_you-do-not-need-to-earn,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d5_myth_busting_you-do-not-need-to-earn
5,2026-08-14,social_proof,$10 and 18 pages. That's the whole guide.,"No course, no coaching calls, no upsells -- one guide, the 4:3 structure, the 3 food rules, a 7-day starter plan + grocery list, and the exact affirmations to say each day. Everything you need to start Monday.",#weightlosstips #sustainableweightloss #healthylifestyle,Link in bio -- $10,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d5_social_proof_10-and-18-pages-thats-the,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d5_social_proof_10-and-18-pages-thats-the,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d5_social_proof_10-and-18-pages-thats-the
5,2026-08-14,quick_tip,It's Friday. Here's how to actually enjoy dinner tonight.,"If tonight is your planned indulgent meal: sit down, eat slow, and remind yourself it comes back next week. That one mental shift is the difference between a meal and a binge.",#cravingscontrol #noguilt #weightlosstips,Link in bio for the full method,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d5_quick_tip_its-friday-heres-how-to-actually,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d5_quick_tip_its-friday-heres-how-to-actually,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d5_quick_tip_its-friday-heres-how-to-actually
6,2026-08-15,relatable_story,Saturday used to be my worst food day. Now it's my easiest.,"Weekends used to be where every diet fell apart for me -- too many decisions, too much guilt either way. Having Saturday dinner already planned as my Anything Meal took the decision-making (and the guilt) out of it completely.",#foodfreedom #stopdieting #bingeeatingrecovery,Link in bio for the full 7-day plan,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d6_relatable_story_saturday-used-to-be-my-worst,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d6_relatable_story_saturday-used-to-be-my-worst,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d6_relatable_story_saturday-used-to-be-my-worst
6,2026-08-15,social_proof,"""I don't need every meal to be perfect.""","That's one of the 5 daily affirmations in the guide -- said once in the morning, once before your evening meal. Small habit, but it's the line that actually rewires what ""normal"" eating feels like.",#weightlossjourney #healthylifestyle #personaltrainer,Link in bio for the full script + method,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d6_social_proof_i-dont-need-every-meal-to,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d6_social_proof_i-dont-need-every-meal-to,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d6_social_proof_i-dont-need-every-meal-to
6,2026-08-15,quick_tip,"Shop for 4 days at a time, not 7.","Small logistics tip that makes this actually sustainable: buy produce for 3-4 days so nothing wilts before you use it. Full starter grocery list (exact greens, fruit, veg, protein) is in the guide.",#healthylifestyle #dietingtips #weightlosstips,Link in bio,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d6_quick_tip_shop-for-4-days-at-a,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d6_quick_tip_shop-for-4-days-at-a,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d6_quick_tip_shop-for-4-days-at-a
7,2026-08-16,social_proof,One week of DMs about this guide -- here's the pattern.,"The message I keep getting since this dropped: ""I didn't think a $10 PDF would actually change how I think about food."" It's not magic, it's just the first plan that didn't ask you to ban anything.",#weightlossjourney #foodfreedom #sustainableweightloss,Link in bio if you haven't grabbed it yet,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d7_social_proof_one-week-of-dms-about-this,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d7_social_proof_one-week-of-dms-about-this,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d7_social_proof_one-week-of-dms-about-this
7,2026-08-16,myth_busting,"You don't need Monday to ""start over.""","You can start the 4:3 structure on any day of the week -- Monday's just the easiest to plan around. Waiting for the ""perfect"" start date is its own form of restriction thinking.",#stopdieting #dietculturedropout #foodfreedom,"Link in bio, start whenever you're ready",https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d7_myth_busting_you-dont-need-monday-to-start,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d7_myth_busting_you-dont-need-monday-to-start,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d7_myth_busting_you-dont-need-monday-to-start
7,2026-08-16,relatable_story,"The diet that finally ""clicked"" wasn't stricter. It was smaller.","Every diet that failed me tried to change everything about how I ate, all at once. This one only asks for 4 days of simple meals -- and lets the rest of the week just be normal, guilt-free eating. That's the whole reason it stuck.",#foodfreedom #bingeeatingrecovery #dietculturedropout,Link in bio,https://payhip.com/preview/NdVT8?utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d7_relatable_story_the-diet-that-finally-clicked-wasnt,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d7_relatable_story_the-diet-that-finally-clicked-wasnt,https://payhip.com/buy?s=1&cart_links%5B%5D=NdVT8&qty%5BNdVT8%5D=1&utm_source=tiktok&utm_medium=organic_social&utm_campaign=anything_meal_7day_launch&utm_content=d7_relatable_story_the-diet-that-finally-clicked-wasnt
